JobID,WelderName,BusinessTool,ProductType,MaterialType,RodDiameter(mm),Thickness(mm),WeldLength(cm),ProductionTime(min),WeldStrength(%),HeatInput(J/cm),DefectCount,PenetrationDepth(mm),WireUsed(kg),WeldingMethod,LaborCost(₹),MaterialCost(₹),TransportCost(₹),OverheadCost(₹),TotalCost(₹),Quantity,UnitPrice(₹),QA_Status,ReworkNeeded,ProfitMargin(%)
JOB1010,Welder_22,Welder,Pipe Joint,Titanium,4.55,1.64,132.3,56.0,72.1,293.9,4.0,7.71,0.6,Arc,1411.0,3817.0,,1926.0,7302.0,11.0,3211.0,Fail,Yes,29.14
,Welder_18,Cutter,Auto Component,Stainless Steel,6.66,17.7,85.9,105.0,85.5,242.0,0.0,8.15,2.07,MIG,1876.0,2167.0,563.0,1249.0,,21.0,3371.0,Pass,Yes,9.52
JOB1012,Welder_6,Compressor,Machinery Part,Aluminium,4.97,5.62,144.2,,74.0,228.3,3.0,7.73,3.74,Laser,330.0,3508.0,455.0,472.0,4765.0,21.0,7974.0,,Yes,19.86
,,Grinder,Pipe Joint,Stainless Steel,6.81,11.59,12.1,155.0,97.1,485.6,1.0,4.97,3.95,Arc,1675.0,3694.0,949.0,1058.0,7376.0,,3681.0,,No,
JOB1014,Welder_29,Welder,Auto Component,Titanium,7.64,1.74,19.2,36.0,62.6,356.6,2.0,7.6,2.37,Gas,715.0,,257.0,927.0,6174.0,17.0,3806.0,Fail,No,13.37
JOB1015,Welder_18,Grinder,Pipe Joint,Mild Steel,7.51,13.67,11.4,229.0,82.0,109.4,4.0,6.63,,Arc,1714.0,2946.0,165.0,860.0,5685.0,48.0,3255.0,Pass,No,19.14
JOB1016,Welder_7,Welder,Machinery Part,Mild Steel,5.0,7.14,31.9,27.0,,272.1,1.0,8.69,3.28,Laser,1699.0,4290.0,958.0,1550.0,8497.0,14.0,7382.0,Fail,No,24.56
JOB1017,Welder_4,Compressor,Machinery Part,Aluminium,3.33,18.06,83.5,176.0,86.1,450.0,4.0,8.22,0.78,,1486.0,1033.0,670.0,1300.0,4489.0,33.0,5899.0,Pending,Yes,5.58
JOB1018,Welder_11,Lathe,Steel Frame,Copper,5.44,17.87,98.6,91.0,70.2,220.6,0.0,1.37,0.99,Laser,1761.0,901.0,920.0,1904.0,5486.0,11.0,4159.0,Fail,Yes,29.24
JOB1019,Welder_11,Welder,Tank Base,Aluminium,3.14,7.18,11.6,81.0,74.6,137.8,3.0,4.41,3.43,Gas,1682.0,4163.0,407.0,1711.0,7963.0,13.0,6656.0,,Yes,25.25
JOB1020,Welder_27,Grinder,Pipe Joint,Copper,9.12,18.12,142.2,263.0,93.7,403.4,1.0,1.31,1.91,Laser,735.0,629.0,436.0,700.0,2500.0,1.0,2452.0,Pass,Yes,23.78
JOB1021,Welder_11,Compressor,Pipe Joint,Stainless Steel,4.77,19.93,127.1,171.0,,342.4,2.0,1.92,2.07,Arc,940.0,2839.0,770.0,937.0,5486.0,34.0,3322.0,Pass,Yes,24.01
JOB1022,Welder_22,Welder,Auto Component,Stainless Steel,3.24,16.68,48.0,47.0,93.1,,0.0,6.41,2.69,TIG,980.0,,882.0,1248.0,7981.0,9.0,8097.0,Pending,No,14.73
JOB1023,Welder_18,Lathe,Machinery Part,Titanium,2.2,17.05,16.2,210.0,82.5,121.4,0.0,8.86,4.9,Arc,1860.0,3459.0,220.0,512.0,6051.0,13.0,2768.0,Pass,No,23.79
JOB1024,Welder_5,Lathe,Pipe Joint,Copper,7.17,5.73,29.6,209.0,90.5,156.2,4.0,2.08,4.84,Gas,1907.0,2358.0,865.0,352.0,5482.0,37.0,7096.0,Pass,Yes,14.67
JOB1025,Welder_10,Cutter,Machinery Part,Titanium,7.1,11.96,23.4,264.0,88.5,349.0,0.0,5.06,2.37,MIG,1969.0,3473.0,503.0,923.0,6868.0,30.0,6185.0,Pass,Yes,27.47
JOB1026,Welder_15,Cutter,Pipe Joint,Mild Steel,4.72,2.28,22.9,188.0,68.3,183.1,1.0,9.2,1.69,Laser,1518.0,4650.0,872.0,1994.0,9034.0,41.0,2169.0,Fail,Yes,9.43
JOB1027,Welder_23,Grinder,Steel Frame,Copper,2.57,2.8,80.2,44.0,82.8,301.6,4.0,8.33,1.86,MIG,1658.0,4149.0,746.0,1051.0,7604.0,45.0,5710.0,Pass,Yes,12.31
JOB1028,Welder_11,Welder,Tank Base,Aluminium,5.28,19.98,40.6,91.0,94.7,318.0,0.0,5.68,1.71,Gas,1498.0,3286.0,885.0,961.0,6630.0,37.0,7590.0,Fail,No,18.78
JOB1029,Welder_12,Welder,Pipe Joint,Mild Steel,4.49,7.21,56.9,229.0,77.3,213.4,2.0,7.94,2.9,Laser,787.0,3597.0,667.0,438.0,5489.0,47.0,1386.0,Pass,Yes,12.98
JOB1030,Welder_25,Cutter,Machinery Part,Mild Steel,,15.22,148.5,167.0,98.7,479.4,1.0,5.7,3.23,Arc,1531.0,4012.0,,717.0,7202.0,,3430.0,Fail,Yes,15.61
JOB1031,Welder_12,Welder,Steel Frame,Aluminium,6.85,16.33,104.2,13.0,78.1,437.0,2.0,2.42,2.7,Arc,925.0,1720.0,195.0,1948.0,4788.0,14.0,2405.0,Fail,Yes,17.31
JOB1032,,Welder,Pipe Joint,Mild Steel,4.92,17.3,142.6,176.0,65.7,388.9,2.0,2.12,2.34,Gas,1142.0,1141.0,213.0,442.0,2938.0,48.0,1123.0,Pending,,26.41
JOB1033,Welder_16,Lathe,Auto Component,Copper,,19.95,,213.0,,131.2,4.0,2.7,1.45,Laser,1196.0,3814.0,968.0,808.0,6786.0,6.0,4997.0,Pending,No,18.08
JOB1034,Welder_26,Cutter,Tank Base,Titanium,9.9,5.59,60.4,203.0,98.1,142.5,3.0,4.16,2.67,Arc,575.0,1223.0,528.0,949.0,3275.0,34.0,6909.0,Fail,Yes,14.06
JOB1035,Welder_18,Compressor,Pipe Joint,Mild Steel,5.63,1.77,85.4,244.0,72.8,297.1,,9.37,2.03,Gas,1381.0,1237.0,639.0,785.0,4042.0,16.0,4896.0,Fail,No,11.19
JOB1036,Welder_15,Cutter,Steel Frame,Copper,7.51,8.81,16.1,215.0,94.7,164.3,1.0,8.2,2.94,Gas,,1799.0,917.0,1291.0,4410.0,37.0,9066.0,Pending,No,15.22
JOB1037,Welder_16,Compressor,Auto Component,Stainless Steel,3.12,3.47,5.6,159.0,95.3,491.3,,4.9,3.54,MIG,1188.0,3980.0,101.0,1760.0,7029.0,36.0,1727.0,Fail,Yes,17.89
JOB1038,Welder_2,Lathe,Steel Frame,Copper,5.88,,102.2,168.0,74.0,163.4,4.0,5.44,3.35,Arc,860.0,839.0,311.0,842.0,2852.0,46.0,8039.0,Pending,Yes,23.65
JOB1039,Welder_14,Grinder,Steel Frame,Titanium,2.22,7.85,98.1,288.0,63.3,295.0,3.0,3.39,2.58,Laser,274.0,652.0,679.0,592.0,2197.0,6.0,8715.0,Pending,Yes,8.03
JOB1040,Welder_24,Welder,Auto Component,Copper,6.04,15.89,64.6,,89.0,245.6,4.0,7.34,3.0,Arc,1603.0,1921.0,739.0,1943.0,6206.0,8.0,4670.0,Pass,Yes,10.54
JOB1041,Welder_12,Lathe,Steel Frame,Aluminium,9.71,11.76,76.0,77.0,72.5,355.8,,8.22,1.78,Arc,,3551.0,432.0,1607.0,6530.0,24.0,2141.0,Pass,Yes,14.49
JOB1042,Welder_17,Welder,Auto Component,Titanium,5.07,6.94,65.2,97.0,91.3,151.6,3.0,3.15,0.61,Arc,503.0,926.0,123.0,970.0,2522.0,3.0,5031.0,Pending,No,14.01
JOB1043,Welder_27,Grinder,Pipe Joint,Stainless Steel,2.31,13.43,8.5,226.0,77.7,272.1,1.0,1.38,3.31,Gas,1285.0,4058.0,864.0,1137.0,7344.0,4.0,9550.0,Pending,No,14.79
JOB1044,Welder_8,Grinder,Auto Component,Aluminium,2.25,5.41,53.6,10.0,79.4,209.9,3.0,6.62,1.64,TIG,,1635.0,467.0,1337.0,4208.0,32.0,4742.0,Fail,No,24.84
JOB1045,Welder_1,Lathe,Auto Component,Copper,5.1,1.27,30.7,144.0,91.1,455.1,3.0,6.06,3.51,TIG,985.0,2872.0,841.0,933.0,5631.0,1.0,3844.0,Pending,,13.1
JOB1046,Welder_26,Grinder,Tank Base,Titanium,3.28,15.52,19.3,194.0,75.3,116.2,4.0,4.62,3.86,MIG,1331.0,3829.0,605.0,571.0,6336.0,34.0,3211.0,Pending,No,17.55
JOB1047,Welder_8,,Auto Component,,2.19,12.85,143.7,149.0,77.7,465.5,4.0,6.8,,Arc,1410.0,,275.0,1348.0,4482.0,45.0,1972.0,Pass,Yes,20.6
JOB1048,Welder_24,Grinder,Auto Component,Aluminium,8.05,15.48,91.9,115.0,75.0,433.2,4.0,5.96,4.81,TIG,1186.0,1873.0,528.0,621.0,4208.0,9.0,,Pending,Yes,10.8
JOB1049,Welder_14,,,Stainless Steel,5.67,,110.7,142.0,74.7,219.0,3.0,,0.55,MIG,428.0,,986.0,1105.0,3975.0,12.0,3632.0,Fail,No,22.97
JOB1050,Welder_6,Welder,Tank Base,Copper,4.31,16.91,50.7,117.0,81.0,415.7,,4.58,,Gas,1271.0,2201.0,832.0,1426.0,5730.0,10.0,4190.0,Pending,Yes,18.68
JOB1051,Welder_23,Welder,Machinery Part,Stainless Steel,9.2,12.77,62.0,187.0,92.4,112.5,1.0,4.85,3.57,Arc,467.0,3441.0,541.0,1182.0,5631.0,10.0,5948.0,Pass,Yes,16.17
JOB1052,Welder_30,Welder,Pipe Joint,Mild Steel,2.93,11.7,39.4,155.0,74.5,486.7,2.0,8.92,3.4,Laser,,2982.0,647.0,1363.0,5918.0,44.0,,Pass,No,
JOB1053,Welder_4,Compressor,Pipe Joint,Aluminium,9.65,12.87,19.1,83.0,81.0,310.6,4.0,9.65,0.57,Gas,1001.0,1803.0,613.0,534.0,3951.0,48.0,2756.0,Pass,No,11.09
,Welder_17,,Machinery Part,Stainless Steel,4.51,,31.0,117.0,86.8,221.3,1.0,9.04,4.38,MIG,453.0,870.0,994.0,1131.0,3448.0,23.0,8818.0,Pass,No,
JOB1055,Welder_16,Lathe,Auto Component,Copper,9.11,12.15,120.6,131.0,70.8,245.0,1.0,7.47,1.15,Gas,1156.0,3480.0,460.0,1412.0,6508.0,6.0,6119.0,Pending,Yes,19.03
JOB1056,Welder_7,Welder,Steel Frame,Copper,6.82,12.04,103.2,26.0,,126.6,0.0,6.26,4.27,Laser,1069.0,2796.0,373.0,1423.0,5661.0,24.0,7026.0,Fail,No,20.23
JOB1057,Welder_28,Grinder,Tank Base,Stainless Steel,8.61,19.82,84.3,205.0,97.3,495.7,,7.2,0.57,Gas,286.0,,276.0,443.0,3630.0,24.0,9432.0,Fail,No,26.88
JOB1058,Welder_29,Welder,Steel Frame,Copper,9.87,15.38,73.9,261.0,88.9,115.7,1.0,9.45,3.41,MIG,,3466.0,363.0,1405.0,6638.0,21.0,7975.0,Fail,Yes,25.44
JOB1059,Welder_17,Grinder,Machinery Part,Titanium,4.31,9.4,138.8,128.0,83.1,362.0,0.0,3.25,,Laser,1248.0,4645.0,285.0,888.0,7066.0,42.0,1975.0,,Yes,20.04
JOB1060,Welder_27,Grinder,Pipe Joint,Titanium,9.69,14.44,15.5,171.0,85.9,277.1,4.0,5.82,1.4,Laser,1611.0,3242.0,,1894.0,7373.0,31.0,5318.0,Pending,No,23.83
JOB1061,Welder_15,Welder,Pipe Joint,Titanium,5.12,8.4,45.7,207.0,61.2,479.6,3.0,7.21,0.98,Gas,421.0,4521.0,378.0,528.0,5848.0,47.0,6923.0,Pending,Yes,15.83
JOB1062,Welder_14,Compressor,Tank Base,Mild Steel,5.08,5.35,55.7,54.0,84.7,198.4,0.0,7.11,2.48,Laser,1189.0,2864.0,805.0,1926.0,6784.0,41.0,3313.0,Fail,No,18.68
JOB1063,Welder_25,Grinder,Pipe Joint,Stainless Steel,4.72,12.34,118.5,188.0,80.4,312.8,3.0,3.27,1.05,Gas,596.0,1262.0,297.0,1718.0,3873.0,30.0,1787.0,Pending,Yes,6.55
JOB1064,Welder_28,Grinder,Pipe Joint,Mild Steel,6.33,18.64,148.9,,81.8,292.9,2.0,6.28,2.69,Arc,1137.0,4562.0,448.0,1836.0,7983.0,34.0,3428.0,Pending,No,7.25
JOB1065,Welder_3,Welder,Tank Base,Copper,3.23,18.65,39.9,280.0,74.4,381.1,2.0,8.16,3.31,Laser,710.0,1504.0,520.0,1520.0,4254.0,18.0,,Pass,,25.74
JOB1066,Welder_2,Grinder,Tank Base,Mild Steel,6.43,7.5,131.8,87.0,63.3,127.2,2.0,5.28,4.22,Gas,760.0,4255.0,404.0,573.0,5992.0,12.0,7664.0,Pass,Yes,6.49
JOB1067,Welder_25,Grinder,Machinery Part,Copper,,,125.4,187.0,67.7,177.5,2.0,8.14,3.55,Arc,1045.0,3346.0,163.0,889.0,5443.0,35.0,,Fail,,9.23
JOB1068,Welder_9,Welder,Pipe Joint,Copper,8.1,5.02,37.6,12.0,98.0,185.8,1.0,4.24,0.79,,639.0,849.0,389.0,952.0,2829.0,7.0,2363.0,Pass,No,24.9
JOB1069,Welder_24,Welder,Pipe Joint,Aluminium,8.67,19.92,62.9,223.0,,395.3,2.0,9.45,1.88,Arc,1398.0,3464.0,117.0,882.0,5861.0,,4959.0,Pass,No,5.03
JOB1070,Welder_6,Lathe,Machinery Part,Titanium,5.52,19.64,64.4,83.0,78.7,175.7,1.0,5.81,1.8,Laser,510.0,1186.0,163.0,1267.0,3126.0,40.0,9781.0,Pass,No,12.06
JOB1071,Welder_26,Compressor,Auto Component,Copper,4.42,13.34,146.8,60.0,62.1,,1.0,6.36,4.62,MIG,1497.0,3626.0,973.0,1885.0,7981.0,25.0,2749.0,Pending,Yes,19.6
JOB1072,Welder_4,Compressor,Auto Component,Aluminium,4.07,16.28,31.2,76.0,61.5,186.1,4.0,1.28,4.41,MIG,234.0,4956.0,429.0,671.0,6290.0,6.0,7671.0,Pass,Yes,19.89
JOB1073,Welder_27,Grinder,Auto Component,Titanium,3.56,14.59,120.9,102.0,88.7,444.6,1.0,2.53,2.17,Gas,416.0,3255.0,969.0,1403.0,,,1540.0,Pass,Yes,24.43
JOB1074,Welder_1,,Machinery Part,Copper,2.46,12.27,53.5,185.0,81.5,,,6.7,0.82,TIG,920.0,4024.0,862.0,1558.0,7364.0,46.0,8634.0,Pass,No,17.65
JOB1075,Welder_29,Grinder,Pipe Joint,Copper,4.74,2.01,111.0,154.0,80.3,307.4,2.0,4.78,4.52,MIG,1895.0,4124.0,116.0,1610.0,7745.0,16.0,9482.0,Pending,Yes,17.74
JOB1076,Welder_28,Lathe,Machinery Part,Mild Steel,4.16,9.64,65.9,16.0,69.7,240.9,1.0,5.57,4.5,TIG,1215.0,3232.0,542.0,1118.0,6107.0,48.0,4935.0,Fail,No,23.13
JOB1077,Welder_8,Welder,Machinery Part,Mild Steel,9.73,13.82,88.9,278.0,89.8,193.6,3.0,1.57,4.35,Arc,1631.0,2193.0,240.0,1990.0,6054.0,4.0,4958.0,Pending,No,17.47
JOB1078,Welder_14,Welder,Auto Component,Titanium,6.46,13.87,125.7,13.0,66.7,119.9,2.0,8.51,4.3,Arc,718.0,3392.0,407.0,871.0,5388.0,29.0,4859.0,Pending,No,20.21
JOB1079,Welder_25,Welder,Steel Frame,Copper,4.78,8.09,121.6,147.0,67.6,207.4,0.0,8.06,2.66,TIG,468.0,4311.0,,844.0,,38.0,9050.0,Pass,No,27.44
JOB1080,Welder_19,Compressor,Pipe Joint,Stainless Steel,,,130.6,240.0,78.4,361.7,2.0,2.67,1.3,Gas,837.0,4680.0,595.0,1760.0,7872.0,47.0,6331.0,,No,15.04
JOB1081,Welder_8,Lathe,Auto Component,Mild Steel,3.11,4.18,13.6,97.0,71.5,313.4,1.0,6.71,2.65,Laser,674.0,1184.0,525.0,,2809.0,28.0,9199.0,Pass,Yes,14.63
JOB1082,Welder_15,Compressor,Steel Frame,Titanium,5.55,10.51,105.3,26.0,69.9,477.6,3.0,8.36,2.73,TIG,1548.0,4840.0,574.0,1032.0,7994.0,22.0,2657.0,Pass,Yes,5.09
JOB1083,Welder_19,Compressor,Steel Frame,Copper,7.01,14.13,25.3,61.0,85.8,258.5,,6.77,2.7,TIG,1579.0,3419.0,931.0,716.0,6645.0,8.0,7185.0,Fail,Yes,20.34
JOB1084,Welder_28,Lathe,Tank Base,Copper,5.91,14.25,,143.0,,377.5,3.0,3.79,2.92,TIG,289.0,4256.0,344.0,937.0,5826.0,32.0,5428.0,Fail,Yes,5.74
JOB1085,Welder_21,Lathe,,Stainless Steel,5.21,13.32,84.5,220.0,93.0,295.7,0.0,6.91,1.66,TIG,1265.0,3783.0,549.0,340.0,5937.0,33.0,8237.0,Pending,Yes,17.6
JOB1086,Welder_27,Lathe,Steel Frame,Titanium,9.95,6.23,63.4,228.0,76.7,305.0,0.0,2.89,2.15,TIG,1588.0,4526.0,901.0,1086.0,8101.0,13.0,2039.0,Fail,,25.11
JOB1087,Welder_27,Lathe,Auto Component,Copper,9.04,3.97,80.3,214.0,,207.1,4.0,3.86,2.45,Gas,1894.0,1656.0,450.0,1792.0,5792.0,27.0,3116.0,Pending,,18.75
JOB1088,Welder_9,Welder,Tank Base,Mild Steel,6.99,13.08,149.5,220.0,70.9,282.0,4.0,3.16,1.09,MIG,1425.0,3561.0,698.0,,6280.0,18.0,9876.0,Pending,Yes,11.74
JOB1089,Welder_22,Cutter,Pipe Joint,Stainless Steel,,12.39,24.6,286.0,99.2,288.3,2.0,6.01,2.55,Laser,1589.0,4945.0,810.0,1920.0,9264.0,18.0,5018.0,Pass,No,24.65
JOB1090,Welder_23,Cutter,Machinery Part,Titanium,6.97,,102.9,33.0,,382.7,4.0,1.97,4.15,,1181.0,2829.0,969.0,1924.0,6903.0,13.0,8546.0,,No,11.74
JOB1091,Welder_20,Lathe,Auto Component,Stainless Steel,3.61,14.4,62.4,13.0,88.4,476.3,3.0,9.4,4.23,TIG,487.0,1792.0,260.0,341.0,2880.0,22.0,2824.0,Pass,No,23.33
JOB1092,,Cutter,Steel Frame,Mild Steel,5.16,9.65,24.3,161.0,60.3,231.7,4.0,4.0,2.35,,1826.0,2384.0,239.0,931.0,5380.0,14.0,4534.0,Fail,No,20.26
JOB1093,Welder_29,Cutter,Steel Frame,Titanium,2.32,13.69,28.0,268.0,80.7,116.9,3.0,2.97,2.83,Gas,680.0,2060.0,592.0,1602.0,4934.0,11.0,7670.0,Fail,No,9.25
JOB1094,Welder_29,Lathe,Auto Component,Stainless Steel,5.8,16.91,,177.0,61.5,298.5,4.0,5.47,0.65,Arc,836.0,1483.0,687.0,1782.0,4788.0,39.0,,Pending,Yes,
JOB1095,Welder_20,Cutter,Steel Frame,Aluminium,6.34,4.22,132.5,185.0,82.8,317.8,4.0,3.49,3.53,MIG,700.0,2567.0,,332.0,,22.0,9452.0,Pending,Yes,10.02
JOB1096,Welder_26,,Tank Base,Mild Steel,3.82,1.36,136.5,65.0,96.8,167.4,4.0,5.81,,Laser,1861.0,2363.0,492.0,1599.0,6315.0,36.0,4571.0,,Yes,29.74
JOB1097,Welder_26,Grinder,Pipe Joint,Mild Steel,9.71,15.8,148.8,117.0,98.7,404.2,1.0,4.14,2.5,Gas,251.0,2479.0,941.0,964.0,4635.0,17.0,4192.0,Fail,No,5.18
JOB1098,Welder_5,Grinder,Tank Base,Mild Steel,9.28,12.58,35.2,150.0,81.6,494.0,1.0,2.19,4.43,Arc,302.0,2236.0,500.0,1413.0,4451.0,32.0,5953.0,Pending,Yes,11.59
JOB1099,Welder_22,Lathe,Steel Frame,,7.78,14.29,56.5,164.0,,478.3,4.0,3.39,2.58,Gas,1584.0,,149.0,915.0,5600.0,14.0,5275.0,Pending,Yes,10.0
JOB1100,Welder_6,Welder,Machinery Part,Aluminium,6.27,16.92,102.0,,97.8,178.8,3.0,4.95,0.6,,1647.0,2418.0,843.0,1247.0,6155.0,42.0,1354.0,Fail,No,
JOB1101,Welder_4,Lathe,Pipe Joint,Copper,8.96,16.25,75.2,282.0,86.9,450.1,2.0,1.27,1.52,Arc,898.0,1200.0,394.0,1847.0,4339.0,29.0,6029.0,Pass,,23.31
JOB1102,Welder_23,Welder,Pipe Joint,Stainless Steel,3.05,19.26,65.7,241.0,62.6,381.8,0.0,7.94,2.64,Laser,1428.0,4546.0,524.0,459.0,6957.0,6.0,3774.0,Fail,Yes,22.34
JOB1103,Welder_30,Grinder,Auto Component,Copper,8.32,11.18,56.9,250.0,,281.5,1.0,,2.41,Arc,1237.0,2573.0,111.0,757.0,4678.0,4.0,1588.0,Pending,No,24.81
JOB1104,Welder_7,Lathe,Auto Component,Stainless Steel,3.0,10.28,91.1,267.0,69.6,316.2,4.0,6.41,,Laser,1839.0,4253.0,434.0,698.0,,11.0,1604.0,Pass,No,11.42
JOB1105,Welder_6,Compressor,Machinery Part,Aluminium,8.35,8.64,88.5,258.0,,439.8,0.0,5.91,2.94,TIG,1852.0,894.0,114.0,1414.0,4274.0,45.0,9365.0,Fail,No,16.11
JOB1106,Welder_12,Cutter,Pipe Joint,Aluminium,4.21,3.92,28.4,86.0,78.2,292.1,1.0,6.31,3.6,Laser,,2456.0,127.0,880.0,4132.0,40.0,,Pass,Yes,21.48
,Welder_2,Welder,Machinery Part,Copper,9.02,11.88,73.4,189.0,83.3,249.3,2.0,9.41,2.61,Gas,1689.0,3548.0,487.0,1789.0,7513.0,10.0,6434.0,Pass,No,15.99
JOB1108,Welder_27,Cutter,Auto Component,Titanium,9.55,6.26,85.3,75.0,74.3,297.3,3.0,1.08,2.48,MIG,1527.0,3952.0,391.0,519.0,6389.0,28.0,1433.0,Pending,No,22.43
JOB1109,Welder_16,Cutter,Auto Component,Copper,3.19,,87.7,180.0,66.6,331.7,4.0,1.43,2.51,Gas,1828.0,1022.0,986.0,1742.0,5578.0,11.0,9450.0,Fail,No,20.85
JOB1110,Welder_25,Lathe,Pipe Joint,Stainless Steel,5.7,12.08,35.5,31.0,80.1,175.6,2.0,,2.35,,626.0,2062.0,932.0,678.0,4298.0,35.0,1867.0,Pending,No,7.87
JOB1111,Welder_18,Cutter,Tank Base,Copper,9.85,,,116.0,93.2,460.4,1.0,2.51,2.92,Arc,1879.0,3409.0,349.0,1229.0,6866.0,15.0,,Fail,No,24.53
JOB1112,Welder_17,Compressor,Steel Frame,,5.87,7.74,8.7,236.0,,369.7,4.0,2.63,,TIG,309.0,3349.0,604.0,1770.0,6032.0,8.0,6764.0,Fail,Yes,23.02
JOB1113,,Cutter,Auto Component,Stainless Steel,8.91,1.99,56.5,225.0,73.5,353.3,0.0,7.05,4.51,,1898.0,1049.0,197.0,1263.0,4407.0,20.0,1393.0,Fail,Yes,21.4
JOB1114,Welder_4,Lathe,Auto Component,Stainless Steel,6.71,1.6,118.1,78.0,97.4,139.8,3.0,5.14,2.0,Laser,1788.0,1968.0,914.0,1469.0,6139.0,21.0,4754.0,Pass,No,8.88
JOB1115,Welder_29,Compressor,Tank Base,,5.0,9.04,86.8,93.0,96.5,341.7,1.0,9.93,1.16,Arc,714.0,,436.0,532.0,3014.0,1.0,5370.0,Pass,No,11.7
JOB1116,Welder_6,Grinder,Tank Base,Aluminium,4.29,2.61,42.9,112.0,68.4,148.4,3.0,,0.93,TIG,267.0,4982.0,138.0,1694.0,7081.0,29.0,5521.0,Pending,Yes,14.83
JOB1117,,Cutter,Machinery Part,Stainless Steel,3.63,12.53,105.8,48.0,61.6,131.5,4.0,3.8,0.56,MIG,1469.0,1921.0,137.0,1221.0,4748.0,24.0,8699.0,Fail,Yes,12.0
JOB1118,Welder_5,Lathe,Machinery Part,Aluminium,8.09,17.74,87.3,22.0,89.7,310.9,2.0,9.86,2.4,Gas,588.0,785.0,399.0,533.0,2305.0,30.0,5578.0,Fail,No,10.7
JOB1119,Welder_11,Grinder,Steel Frame,Copper,5.09,17.78,120.5,190.0,93.1,261.1,3.0,8.49,1.34,TIG,1873.0,,278.0,1025.0,6421.0,40.0,9405.0,Pass,No,25.13
JOB1120,Welder_23,Grinder,Steel Frame,Mild Steel,6.09,13.52,111.6,277.0,98.7,335.5,0.0,5.23,0.6,TIG,507.0,4265.0,708.0,666.0,6146.0,35.0,3126.0,Fail,Yes,20.96
JOB1121,Welder_15,,Pipe Joint,Titanium,5.94,5.01,93.5,22.0,95.6,135.7,,5.99,2.84,TIG,1575.0,4964.0,991.0,780.0,8310.0,33.0,9330.0,Pending,No,19.14
JOB1122,Welder_29,Compressor,Machinery Part,Aluminium,6.62,17.4,75.8,129.0,84.0,272.4,0.0,8.59,3.56,Gas,1289.0,1945.0,568.0,1896.0,5698.0,20.0,5193.0,Fail,No,10.65
JOB1123,Welder_29,Cutter,Auto Component,Stainless Steel,8.92,17.84,24.3,,81.2,169.9,,5.33,0.89,Laser,659.0,1966.0,381.0,1686.0,4692.0,16.0,4960.0,Fail,Yes,27.95
JOB1124,Welder_3,Lathe,Machinery Part,Aluminium,9.85,4.74,42.9,49.0,61.1,494.8,2.0,2.85,2.57,Arc,546.0,2276.0,849.0,889.0,4560.0,9.0,1663.0,Pass,Yes,9.78
